Id,MSZoning,LotArea,LotShape,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageArea,GarageCond,YrSold,SalePrice
544,RH,4058,Reg,5,1998,Gable,PConc,723,GasA,SBrkr,767,TA,4,Attchd,1998,367,TA,2007,133000
545,RL,17104,IR1,5,2006,Gable,PConc,654,GasA,SBrkr,1496,Gd,7,Attchd,2006,426,TA,2006,179665
546,RL,13837,IR1,5,1988,Gable,PConc,1204,GasA,SBrkr,2183,Gd,9,Attchd,1988,786,TA,2006,229000
547,RL,8737,IR1,7,1923,Gable,BrkTil,1065,GasA,FuseA,1635,TA,6,Detchd,1950,440,TA,2007,210000
548,RL,7244,Reg,7,1970,Gable,CBlock,768,GasA,SBrkr,768,TA,5,Detchd,1987,624,TA,2007,129500
549,RM,8235,IR1,7,1955,Gable,CBlock,825,GasA,SBrkr,825,TA,4,Detchd,1963,720,TA,2008,125000
550,FV,9375,Reg,5,2003,Gable,PConc,912,GasA,SBrkr,2094,Gd,8,BuiltIn,2003,615,TA,2009,263000
551,RL,4043,Reg,6,1977,Gable,CBlock,1069,GasA,SBrkr,1069,TA,4,Attchd,1977,440,TA,2008,140000
552,RM,6000,Reg,6,1957,Hip,CBlock,928,GasA,FuseA,928,TA,5,Attchd,1957,288,TA,2008,112500
553,RL,11146,IR1,5,2006,Gable,PConc,1709,GasA,SBrkr,1717,Gd,7,Attchd,2006,908,TA,2009,255500
554,RL,8777,Reg,5,1949,Gable,CBlock,0,GasA,SBrkr,1126,Gd,5,Detchd,2002,520,TA,2009,108000
555,RL,10625,Reg,5,2003,Gable,PConc,998,GasA,SBrkr,2046,Gd,8,BuiltIn,2003,871,TA,2008,284000
556,RM,6380,Reg,6,1922,Gable,BrkTil,993,GasA,FuseA,1048,TA,5,Detchd,1922,280,TA,2006,113000
557,RL,14850,IR1,5,1957,Gable,CBlock,1092,GasA,FuseA,1092,TA,6,Attchd,1957,299,TA,2006,141000
558,C (all),11040,Reg,6,1920,Gable,CBlock,637,GasA,SBrkr,1336,TA,7,CarPort,1994,570,TA,2006,108000
559,RL,21872,IR2,5,1996,Gable,PConc,729,GasA,SBrkr,1446,TA,6,Attchd,1996,406,TA,2008,175000
560,RL,3196,Reg,5,2003,Gable,PConc,1374,GasA,SBrkr,1557,Gd,7,Attchd,2003,420,TA,2006,234000
561,RL,11341,IR1,6,1957,Hip,CBlock,1392,GasA,SBrkr,1392,TA,5,Detchd,1957,528,TA,2010,121500
562,RL,10010,Reg,5,1974,Gable,CBlock,1389,GasA,SBrkr,1389,TA,6,Attchd,1975,418,TA,2006,170000
563,RL,13907,Reg,6,1940,Gable,CBlock,996,GasA,SBrkr,996,TA,6,NA,NA,0,NA,2008,108000
564,RL,21780,Reg,7,1918,Gable,BrkTil,1163,GasA,SBrkr,1674,TA,8,Detchd,1955,396,TA,2008,185000
565,RL,13346,IR1,5,1992,Gable,PConc,1095,GasA,SBrkr,2295,Gd,9,Attchd,1992,590,TA,2006,268000
566,RL,6858,Reg,4,1915,Gable,PConc,806,GasA,FuseF,1647,Fa,6,Detchd,1920,216,TA,2010,128000
567,RL,11198,IR1,5,2005,Hip,PConc,1122,GasA,SBrkr,2504,Ex,11,BuiltIn,2005,656,TA,2008,325000
568,RL,10171,IR1,5,2004,Gable,PConc,1517,GasA,SBrkr,1535,Gd,7,Attchd,2004,532,TA,2010,214000
569,RL,12327,IR1,8,1983,Gable,CBlock,1496,GasA,SBrkr,2132,Gd,5,BuiltIn,1983,612,TA,2009,316600
570,RL,7032,IR1,5,1979,Gable,CBlock,943,GasA,SBrkr,943,TA,4,Detchd,1979,600,TA,2006,135960
571,RL,13101,IR1,5,1965,Gable,CBlock,1728,GasA,SBrkr,1728,TA,10,Detchd,1987,576,TA,2008,142600
572,RL,7332,Reg,6,1959,Gable,CBlock,864,GasA,SBrkr,864,Gd,4,Attchd,1959,288,TA,2006,120000
573,RL,13159,IR1,5,2009,Gable,PConc,846,GasA,SBrkr,1692,Gd,6,Attchd,2009,650,TA,2009,224500
574,RL,9967,IR1,5,2000,Gable,PConc,384,GasA,SBrkr,1430,TA,8,BuiltIn,2000,400,TA,2007,170000
575,RL,10500,Reg,7,1971,Gambrel,CBlock,372,GasA,SBrkr,1109,TA,5,BuiltIn,1971,288,TA,2007,139000
576,RL,8480,Reg,5,1947,Gable,CBlock,832,GasA,SBrkr,1216,TA,6,Detchd,1947,336,TA,2008,118500
577,RL,6292,Reg,7,1928,Gable,BrkTil,861,GasA,SBrkr,1477,TA,6,Detchd,1928,216,TA,2009,145000
578,RL,11777,IR1,6,1966,Gable,CBlock,1164,GasA,SBrkr,1320,TA,6,Attchd,1966,564,TA,2006,164500
579,FV,3604,Reg,5,2007,Gable,PConc,689,GasA,SBrkr,1392,Gd,5,Detchd,2007,540,TA,2008,146000
580,RM,12150,Reg,5,1954,Gable,BrkTil,1050,GasA,FuseF,1795,TA,7,Attchd,1954,352,TA,2008,131500
581,RL,14585,IR1,6,1960,Gable,CBlock,1144,GasA,SBrkr,1429,Gd,7,Attchd,1960,572,TA,2007,181900
582,RL,12704,Reg,5,2008,Hip,PConc,2042,GasA,SBrkr,2042,Ex,8,Attchd,2009,1390,TA,2009,253293
583,RL,11841,Reg,5,1990,Gable,CBlock,816,GasA,SBrkr,816,TA,5,NA,NA,0,NA,2007,118500
584,RM,13500,Reg,9,1893,Gable,BrkTil,1237,GasA,SBrkr,2775,Gd,9,Detchd,1988,880,TA,2008,325000
585,RM,6120,Reg,7,1935,Gable,BrkTil,884,GasA,SBrkr,1573,Gd,6,Detchd,1935,240,TA,2009,133000
586,RL,11443,Reg,5,2005,Hip,PConc,1868,GasA,SBrkr,2028,Gd,7,Attchd,2005,880,TA,2006,369900
587,RL,10267,Reg,7,1918,Gable,BrkTil,816,GasA,SBrkr,838,Fa,5,Detchd,1961,275,TA,2008,130000
588,RL,8740,IR1,6,1982,Hip,CBlock,840,GasA,SBrkr,860,TA,4,Detchd,1996,528,TA,2009,137000
589,RL,25095,IR1,8,1968,Flat,CBlock,1437,GasA,SBrkr,1473,Ex,5,Attchd,1968,452,TA,2009,143000
590,RM,9100,Reg,6,1930,Gable,BrkTil,742,GasA,FuseA,935,TA,4,Detchd,1988,308,TA,2008,79500
591,RL,8320,Reg,5,2004,Gable,PConc,770,GasA,SBrkr,1582,Gd,6,Attchd,2004,520,TA,2008,185900
592,RL,13478,IR1,5,2008,Gable,PConc,1722,GasA,SBrkr,2296,Ex,10,BuiltIn,2008,842,TA,2009,451950
593,RL,6600,Reg,8,1982,Gable,PConc,816,GasA,SBrkr,816,TA,4,Detchd,1985,816,TA,2008,138000
594,RM,4435,Reg,5,2003,Gable,PConc,848,GasA,SBrkr,848,Gd,4,Attchd,2003,420,TA,2009,140000
595,RL,7990,IR1,6,1975,Hip,CBlock,924,GasA,SBrkr,924,TA,5,Detchd,1981,280,TA,2008,110000
596,RL,11302,IR1,5,2005,Gable,PConc,1814,GasA,SBrkr,1826,Gd,7,Attchd,2005,758,TA,2006,319000
597,RM,3600,Reg,7,1910,Gable,CBlock,684,GasA,FuseA,1368,TA,7,Detchd,1930,216,Fa,2006,114504
598,RL,3922,Reg,5,2006,Gable,PConc,1258,GasA,SBrkr,1402,Gd,7,Attchd,2006,648,TA,2007,194201
599,RL,12984,Reg,6,1977,Gable,CBlock,1430,GasA,SBrkr,1647,Gd,7,Attchd,1977,621,TA,2006,217500
600,RM,1950,Reg,6,1980,Gable,CBlock,716,GasA,SBrkr,1556,TA,6,Attchd,1980,452,TA,2008,151000
601,RL,10927,Reg,5,2005,Gable,PConc,1058,GasA,SBrkr,1904,Ex,8,BuiltIn,2003,736,TA,2006,275000
602,RM,9000,Reg,6,1937,Gable,PConc,780,GasA,SBrkr,1375,Gd,6,Detchd,1979,544,TA,2007,141000
603,RL,10041,IR1,5,1992,Gable,PConc,908,GasA,SBrkr,1915,Gd,8,Attchd,1992,506,TA,2006,220000
604,FV,3182,Reg,5,2004,Gable,PConc,600,GasA,SBrkr,1200,Gd,4,Detchd,2004,480,TA,2010,151000
605,RL,12803,IR1,5,2002,Gable,PConc,1494,GasA,SBrkr,1494,Gd,6,Attchd,2002,530,TA,2008,221000
606,RL,13600,Reg,6,1965,Gable,CBlock,768,GasA,SBrkr,1986,TA,7,Attchd,1965,486,TA,2009,205000
607,RL,12464,IR2,5,1996,Gable,PConc,1040,GasA,SBrkr,1040,Gd,6,Detchd,2000,576,TA,2009,152000
608,RL,7800,Reg,8,1948,Gable,CBlock,896,GasA,SBrkr,2008,Ex,8,Attchd,1948,230,TA,2006,225000
609,RL,12168,Reg,6,1934,Gable,PConc,965,GasA,SBrkr,3194,TA,10,Basment,1934,380,TA,2007,359100
610,RL,7943,Reg,5,1961,Gable,CBlock,1029,GasA,SBrkr,1029,TA,5,Attchd,1961,261,TA,2007,118500
611,RL,11050,Reg,5,2000,Hip,PConc,1440,GasA,SBrkr,2153,Ex,8,Attchd,2000,736,TA,2009,313000
612,RL,10395,IR1,6,1978,Gable,CBlock,1032,GasA,SBrkr,1032,TA,6,Attchd,1978,564,TA,2007,148000
613,RL,11885,Reg,5,2001,Gable,PConc,1299,GasA,SBrkr,1872,Ex,7,BuiltIn,2001,531,TA,2009,261500
614,RL,8402,Reg,5,2007,Gable,PConc,1120,GasA,SBrkr,1120,TA,6,NA,NA,0,NA,2007,147000
615,RM,1491,Reg,6,1972,Gable,CBlock,630,GasA,SBrkr,630,TA,3,NA,NA,0,NA,2010,75500
616,RL,8800,Reg,7,1963,Gable,PConc,936,GasA,SBrkr,1054,Gd,6,Attchd,1963,480,TA,2010,137500
617,RL,7861,IR1,5,2002,Gable,PConc,783,GasA,SBrkr,1509,Gd,7,Attchd,2002,393,TA,2006,183200
618,RL,7227,Reg,6,1954,Gable,CBlock,832,GasA,SBrkr,832,Gd,4,Detchd,1962,528,TA,2008,105500
619,RL,11694,Reg,5,2007,Hip,PConc,1822,GasA,SBrkr,1828,Gd,9,Attchd,2007,774,TA,2007,314813
620,RL,12244,Reg,5,2003,Hip,PConc,1482,GasA,SBrkr,2262,Gd,10,Attchd,2003,749,TA,2008,305000
621,RL,8248,Reg,3,1914,Gable,BrkTil,864,GasA,FuseF,864,TA,5,NA,NA,0,NA,2008,67000
622,RL,10800,Reg,7,1974,Gable,CBlock,1522,GasA,SBrkr,2614,TA,9,Attchd,1974,624,TA,2008,240000
623,RL,7064,Reg,6,1977,Gable,CBlock,980,GasA,SBrkr,980,TA,6,Detchd,1986,484,TA,2009,135000
624,FV,2117,Reg,5,2000,Gable,PConc,756,GasA,SBrkr,1512,Gd,4,Detchd,2000,440,TA,2007,168500
625,RL,10400,Reg,5,1972,Gable,CBlock,732,GasA,SBrkr,1790,TA,8,Attchd,1972,484,TA,2006,165150
626,RL,10000,IR1,6,1962,Hip,CBlock,1116,GasA,SBrkr,1116,TA,5,Attchd,1962,440,TA,2010,160000
627,RL,12342,IR1,5,1960,Hip,CBlock,978,GasA,SBrkr,1422,TA,6,Attchd,1960,286,TA,2007,139900
628,RL,9600,Reg,6,1955,Gable,CBlock,1156,GasA,SBrkr,1520,TA,7,Basment,1955,364,TA,2010,153000
629,RL,11606,IR1,5,1969,Gable,PConc,1040,GasA,SBrkr,2080,Fa,9,Attchd,1969,504,TA,2007,135000
630,RL,9020,Reg,5,1964,Gable,CBlock,1248,GasA,SBrkr,1350,TA,6,Attchd,1964,520,TA,2008,168500
631,RM,9000,Reg,6,1880,Gable,BrkTil,636,GasA,FuseA,1750,Ex,8,Detchd,1937,240,Po,2006,124000
632,RL,4590,Reg,5,2006,Gable,PConc,1554,GasA,SBrkr,1554,Gd,6,Attchd,2006,627,TA,2007,209500
633,RL,11900,Reg,5,1977,Hip,CBlock,1386,GasA,SBrkr,1411,TA,6,Attchd,1977,544,TA,2009,82500
634,RL,9250,Reg,7,1954,Gable,CBlock,1056,GasA,SBrkr,1056,TA,6,Attchd,1954,260,TA,2007,139400
635,RL,6979,Reg,5,1980,Gable,CBlock,1056,GasA,SBrkr,1056,TA,4,Detchd,1980,576,TA,2010,144000
636,RH,10896,Reg,7,1914,Hip,CBlock,1440,GasA,FuseA,3395,Fa,14,NA,NA,0,NA,2007,200000
637,RM,6120,Reg,3,1936,Gable,BrkTil,264,Grav,FuseA,800,Fa,4,NA,NA,0,NA,2009,60000
638,RM,6000,Reg,4,1954,Gable,CBlock,811,GasA,FuseA,1387,Gd,7,BuiltIn,1954,256,TA,2009,93000
639,RL,8777,Reg,7,1910,Gable,CBlock,796,GasA,FuseA,796,TA,4,NA,NA,0,NA,2008,85000
640,RL,3982,Reg,5,2006,Hip,PConc,1520,GasA,SBrkr,1567,Ex,7,Attchd,2006,648,TA,2006,264561
641,RL,12677,IR1,5,2003,Hip,PConc,1518,GasA,SBrkr,1518,Ex,6,Attchd,2003,588,TA,2008,274000
642,FV,7050,Reg,5,2001,Gable,PConc,1057,GasA,SBrkr,1929,Gd,7,Attchd,2001,650,TA,2007,226000
643,RL,13860,Reg,7,1972,Gable,CBlock,1952,GasA,SBrkr,2704,Ex,9,Attchd,1972,538,TA,2009,345000
644,RL,10793,Reg,5,1969,Mansard,CBlock,780,GasA,SBrkr,1620,TA,7,Attchd,1969,462,TA,2007,152000
645,FV,9187,Reg,5,2009,Gable,PConc,1766,GasA,SBrkr,1766,Ex,7,Attchd,2009,478,TA,2009,370878
646,RL,10530,IR1,5,1971,Hip,CBlock,981,GasA,SBrkr,981,TA,5,Detchd,1979,576,TA,2007,143250
647,RL,7200,Reg,5,1950,Hip,CBlock,0,GasA,SBrkr,1048,TA,7,Detchd,1950,420,TA,2008,98300
648,RL,10452,IR1,5,1953,Hip,CBlock,1094,GasA,SBrkr,1094,TA,5,Attchd,1953,495,TA,2008,155000
649,RL,7700,Reg,5,1966,Gable,CBlock,756,GasA,SBrkr,1839,TA,7,Attchd,1966,442,TA,2010,155000
650,RM,1936,Reg,6,1970,Gable,CBlock,630,GasA,SBrkr,630,TA,3,NA,NA,0,NA,2007,84500
651,FV,8125,Reg,6,2007,Gable,PConc,813,GasA,SBrkr,1665,Gd,7,Attchd,2007,562,TA,2008,205950
652,RL,9084,Reg,5,1940,Gable,CBlock,755,GasA,SBrkr,1510,TA,7,Detchd,1940,296,Po,2009,108000
653,RL,8750,Reg,5,1996,Gable,PConc,880,GasA,SBrkr,1716,Gd,7,Attchd,1996,512,TA,2009,191000
654,RM,10320,Reg,7,1906,Gable,CBlock,756,GasA,SBrkr,1469,TA,7,Detchd,1906,216,TA,2008,135000
655,RL,10437,IR1,6,1995,Hip,PConc,2109,GasA,SBrkr,2113,Gd,7,Attchd,1995,839,TA,2008,350000
656,RM,1680,Reg,5,1971,Gable,CBlock,525,GasA,SBrkr,1092,TA,6,Detchd,1971,264,TA,2010,88000
657,RL,10007,IR1,7,1959,Gable,CBlock,1053,GasA,SBrkr,1053,Gd,5,Attchd,1959,312,TA,2008,145500
658,RL,7200,Reg,6,1931,Gable,BrkTil,776,GasA,SBrkr,1502,TA,6,Attchd,1931,270,TA,2008,149000
659,RL,17503,Reg,5,1948,Gable,CBlock,912,GasA,SBrkr,1458,TA,6,Attchd,1948,330,TA,2010,97500
660,RL,9937,Reg,7,1964,Hip,PConc,1486,GasA,SBrkr,1486,TA,7,Detchd,1968,480,TA,2009,167000
661,RL,12384,Reg,7,1976,Gable,CBlock,793,GasA,SBrkr,1935,TA,7,Attchd,1976,550,TA,2007,197900
662,RL,46589,IR2,7,1994,Hip,PConc,1629,GasA,SBrkr,2448,Gd,8,Attchd,1994,711,TA,2009,402000
663,RL,13560,Reg,3,1968,Hip,CBlock,1392,GasA,SBrkr,1392,TA,5,Attchd,1968,576,TA,2009,110000
664,RL,10012,Reg,5,1972,Gable,CBlock,1138,GasA,SBrkr,1181,TA,6,Detchd,1974,588,TA,2008,137500
665,RL,20896,IR2,5,2005,Gable,PConc,2077,GasA,SBrkr,2097,Ex,8,Attchd,2005,1134,TA,2006,423000
666,RL,11194,IR1,5,2000,Gable,PConc,1406,GasA,SBrkr,1936,Gd,7,Attchd,2000,504,TA,2006,230500
667,RL,18450,IR1,5,1965,Flat,CBlock,1021,GasA,SBrkr,2380,TA,7,CarPort,1965,596,TA,2007,129000
668,RL,8125,Reg,5,1994,Gable,PConc,1408,GasA,SBrkr,1679,Gd,7,Attchd,1994,575,TA,2008,193500
669,RL,14175,Reg,6,1956,Gable,CBlock,1188,GasA,SBrkr,1437,TA,6,Detchd,1999,576,TA,2006,168000
670,RL,11600,Reg,5,1922,Gable,BrkTil,700,GasA,SBrkr,1180,Fa,5,Detchd,1922,252,Fa,2006,137500
671,RL,8633,Reg,5,2005,Gable,PConc,738,GasA,SBrkr,1476,Gd,7,Attchd,2005,540,TA,2009,173500
672,RH,6629,Reg,6,1925,Gambrel,BrkTil,672,GasA,SBrkr,1369,TA,6,Detchd,1930,300,TA,2009,103600
673,RL,11250,IR1,6,1977,Gable,CBlock,1208,GasA,SBrkr,1208,TA,6,Attchd,1977,546,TA,2006,165000
674,RL,14442,Reg,7,1957,Hip,PConc,1477,GasA,SBrkr,1839,Gd,7,Attchd,1957,416,TA,2007,257500
675,RL,9200,Reg,6,1965,Gable,CBlock,1136,GasA,SBrkr,1136,TA,5,Attchd,1965,384,TA,2008,140000
676,RL,2289,Reg,6,1978,Gable,CBlock,855,GasA,SBrkr,1441,TA,7,Attchd,1978,440,TA,2009,148500
677,RM,9600,Reg,2,1900,Gable,BrkTil,1095,GasW,SBrkr,1774,TA,8,2Types,1920,779,Fa,2006,87000
678,RL,9022,Reg,8,1924,Gable,BrkTil,768,GasA,SBrkr,792,Gd,5,Detchd,1924,240,Fa,2009,109500
679,RL,11844,IR1,5,2008,Hip,PConc,2046,GasA,SBrkr,2046,Gd,7,Attchd,2008,834,TA,2009,372500
680,RL,9945,IR1,5,1961,Hip,CBlock,988,GasA,SBrkr,988,TA,5,Detchd,1963,572,TA,2007,128500
681,RL,8012,Reg,5,1980,Gable,CBlock,923,GasA,SBrkr,923,TA,5,Attchd,1980,264,TA,2010,143000
682,RH,4500,IR2,5,1932,Gable,BrkTil,793,GasA,SBrkr,1520,TA,6,Detchd,1968,281,TA,2009,159434
683,RL,2887,Reg,5,1996,Gable,PConc,1291,GasA,SBrkr,1291,Gd,6,Attchd,1996,431,TA,2008,173000
684,RL,11248,IR1,5,2002,Hip,PConc,1626,GasA,SBrkr,1668,Gd,7,Attchd,2002,702,TA,2007,285000
685,RL,16770,IR2,5,1998,Gable,PConc,1195,GasA,SBrkr,1839,TA,7,Attchd,1998,486,TA,2010,221000
686,RL,5062,IR1,5,1984,Gable,CBlock,1190,GasA,SBrkr,2090,Gd,6,Attchd,1984,577,TA,2007,207500
687,FV,10207,Reg,6,2007,Gable,PConc,874,GasA,SBrkr,1761,Gd,7,Attchd,2007,578,TA,2007,227875
688,FV,5105,IR2,5,2004,Gable,PConc,551,GasA,SBrkr,1102,Gd,4,Detchd,2004,480,TA,2007,148800
689,RL,8089,Reg,6,2007,Gable,PConc,1419,GasA,SBrkr,1419,Gd,7,Attchd,2007,567,TA,2007,392000
690,RL,7577,IR1,5,2005,Gable,PConc,1362,GasA,SBrkr,1362,Gd,6,Attchd,2005,460,TA,2007,194700
691,RM,4426,Reg,5,2004,Gable,PConc,848,GasA,SBrkr,848,Gd,3,Attchd,2004,420,TA,2008,141000
692,RL,21535,IR1,6,1994,Gable,PConc,2444,GasA,SBrkr,4316,Ex,10,Attchd,1994,832,TA,2007,755000
693,RL,26178,IR1,5,1989,Hip,PConc,1210,GasA,SBrkr,2519,Gd,9,Attchd,1989,628,TA,2006,335000
694,RL,5400,Reg,6,1921,Gable,BrkTil,1073,GasA,SBrkr,1073,TA,4,Detchd,1968,326,TA,2006,108480
695,RM,6120,Reg,6,1936,Gable,BrkTil,927,GasA,SBrkr,1539,TA,5,Detchd,1995,576,TA,2009,141500
696,RL,13811,IR1,6,1987,Gable,CBlock,1112,GasA,SBrkr,1137,Gd,5,Attchd,1987,551,TA,2006,176000
697,RM,6000,Reg,7,1921,Gable,CBlock,616,GasA,SBrkr,616,TA,4,Detchd,1921,205,TA,2006,89000
698,RL,6420,IR1,7,1952,Gable,PConc,980,GasA,FuseA,1148,TA,6,Detchd,1952,308,TA,2006,123500
699,RL,8450,Reg,8,1965,Gable,CBlock,894,GasA,SBrkr,894,TA,5,Detchd,1973,336,TA,2010,138500
700,FV,4282,IR2,5,2004,Gable,PConc,1391,GasA,SBrkr,1391,Gd,5,Attchd,2004,530,TA,2008,196000
701,RL,14331,Reg,5,2002,Hip,PConc,1800,GasA,SBrkr,1800,Gd,7,Attchd,2002,765,TA,2006,312500
702,RL,9600,Reg,5,1969,Hip,CBlock,1164,GasA,SBrkr,1164,TA,6,Attchd,1969,528,TA,2006,140000
703,RL,12438,IR1,5,2006,Hip,PConc,1234,GasA,SBrkr,2576,Ex,10,BuiltIn,2006,666,TA,2006,361919
704,RM,7630,Reg,9,1900,Gable,BrkTil,360,GasA,SBrkr,1812,Gd,8,Detchd,1999,672,TA,2010,140000
705,RL,8400,Reg,5,2004,Gable,PConc,1473,GasA,SBrkr,1484,Gd,7,Attchd,2004,606,TA,2010,213000
706,RM,5600,Reg,5,1930,Hip,Slab,0,GasA,SBrkr,1092,Fa,7,NA,NA,0,NA,2010,55000
707,RL,115149,IR2,5,1971,Gable,CBlock,1643,GasA,SBrkr,1824,Gd,5,Attchd,1971,739,TA,2007,302000
708,RL,6240,Reg,5,2006,Hip,PConc,1324,GasA,SBrkr,1324,Gd,6,Attchd,2006,550,TA,2009,254000
709,RL,9018,IR1,5,2007,Hip,PConc,728,GasA,SBrkr,1456,Gd,8,Attchd,2007,400,TA,2007,179540
710,RL,7162,IR1,7,1966,Gable,PConc,876,GasA,SBrkr,904,TA,6,Attchd,1966,408,TA,2008,109900
711,RL,4130,IR1,6,1935,Gable,CBlock,270,GasA,SBrkr,729,TA,5,NA,NA,0,NA,2008,52000
712,C (all),8712,Reg,7,1900,Gable,Stone,859,GasA,SBrkr,1178,TA,7,Detchd,1964,384,TA,2010,102776
713,RL,4671,IR1,5,1988,Gable,PConc,1228,GasA,SBrkr,1228,Gd,5,Attchd,1988,472,TA,2008,189000
714,RL,9873,Reg,5,1970,Gable,CBlock,960,GasW,SBrkr,960,TA,6,Detchd,1970,576,TA,2006,129000
715,RL,13517,IR1,8,1976,Gable,CBlock,725,GasA,SBrkr,1479,Gd,6,Attchd,1976,475,TA,2010,130500
716,RL,10140,Reg,5,1974,Hip,CBlock,1064,GasA,SBrkr,1350,TA,7,Attchd,1974,478,TA,2009,165000
717,RM,10800,Reg,8,1890,Gable,BrkTil,718,GasA,SBrkr,2554,TA,8,Detchd,1996,704,TA,2007,159500
718,RL,10000,Reg,6,1973,Gable,CBlock,1176,GasA,SBrkr,1178,Gd,5,Attchd,1973,439,TA,2008,157000
719,RL,10542,Reg,5,1993,Hip,PConc,1311,GasA,SBrkr,2418,Gd,9,Attchd,1993,983,TA,2008,341000
720,RL,9920,IR1,6,1969,Gable,CBlock,971,GasA,SBrkr,971,TA,5,Attchd,1969,300,TA,2006,128500
721,RL,6563,IR1,5,1985,Gable,PConc,1742,GasA,SBrkr,1742,Gd,5,Attchd,1985,564,TA,2006,275000
722,RM,4426,Reg,5,2004,Gable,PConc,848,GasA,SBrkr,848,Gd,3,Attchd,2004,420,TA,2010,143000
723,RL,8120,Reg,7,1970,Gable,CBlock,864,GasA,SBrkr,864,TA,5,Detchd,1994,463,TA,2009,124500
724,RL,8172,Reg,6,1954,Gable,PConc,941,GasA,SBrkr,1470,TA,7,Detchd,1958,548,TA,2008,135000
725,RL,13286,IR1,5,2007,Hip,PConc,1698,GasA,SBrkr,1698,Ex,8,Attchd,2007,768,TA,2009,320000
726,RL,6960,Reg,6,1970,Gable,CBlock,864,GasA,SBrkr,864,Gd,5,Detchd,1989,660,TA,2009,120500
727,RL,21695,IR1,9,1988,Hip,CBlock,880,GasA,SBrkr,1680,Gd,5,Attchd,1988,540,TA,2009,222000
728,RL,7314,Reg,5,2007,Gable,PConc,1232,GasA,SBrkr,1232,Gd,6,Attchd,2007,632,TA,2009,194500
729,RL,11475,Reg,5,1958,Gable,CBlock,1584,GasA,SBrkr,1776,TA,9,Detchd,1968,888,TA,2009,110000
730,RM,6240,Reg,5,1925,Gable,CBlock,780,GasA,FuseA,1208,TA,5,Detchd,1962,539,TA,2009,103000
731,RL,5389,IR1,5,1995,Gable,PConc,1595,GasA,SBrkr,1616,Gd,5,Attchd,1995,608,TA,2010,236500
732,RL,9590,IR1,5,2003,Gable,PConc,868,GasA,SBrkr,1146,Gd,6,Attchd,2003,438,TA,2007,187500
733,RL,11404,IR1,5,1998,Gable,PConc,1153,GasA,SBrkr,2031,Gd,8,Attchd,1998,541,TA,2008,222500
734,RL,10000,Reg,6,1961,Hip,CBlock,864,GasA,SBrkr,1144,TA,6,Attchd,1961,264,TA,2009,131400
735,RL,8978,IR1,5,1968,Gable,PConc,948,GasA,SBrkr,948,TA,6,Attchd,1968,300,TA,2007,108000
736,RM,10800,Reg,7,1914,Gable,BrkTil,880,GasW,SBrkr,1768,TA,6,Detchd,1914,320,TA,2006,163000
737,RL,8544,Reg,4,1950,Gable,CBlock,0,GasA,FuseF,1040,TA,6,Detchd,1949,400,TA,2006,93500
738,RL,10463,IR1,5,2005,Gable,PConc,893,GasA,SBrkr,1801,Gd,8,Attchd,2005,800,TA,2006,239900
739,RL,10800,Reg,5,1987,Gable,CBlock,1200,GasA,SBrkr,1200,TA,5,NA,NA,0,NA,2009,179000
740,RL,9313,IR1,5,2004,Gable,PConc,864,GasA,SBrkr,1728,Gd,7,Attchd,2004,572,TA,2009,190000
741,RM,9600,Reg,7,1910,Gable,BrkTil,264,GasA,SBrkr,1432,TA,7,Detchd,1910,360,Gd,2007,132000
742,RL,6768,IR1,8,1961,Hip,CBlock,912,GasA,SBrkr,912,Gd,5,Detchd,1962,288,TA,2008,142000
743,RL,8450,Reg,5,2000,Gable,PConc,1349,GasA,SBrkr,1349,TA,6,Attchd,2000,539,TA,2007,179000
744,RL,12886,IR1,6,1963,Gable,CBlock,520,GasA,SBrkr,1464,TA,6,Attchd,1997,480,TA,2009,175000
745,RL,5395,IR1,5,1993,Gable,PConc,1337,GasA,SBrkr,1337,Gd,5,Attchd,1993,462,TA,2008,180000
746,RL,8963,IR1,9,1976,Hip,CBlock,1142,GasA,SBrkr,2715,Gd,11,BuiltIn,1994,831,TA,2008,299800
747,RL,8795,IR1,5,2000,Gable,PConc,952,GasA,SBrkr,2256,Gd,8,BuiltIn,2000,554,TA,2009,236000
748,RM,11700,IR1,7,1880,Mansard,Stone,1240,GasW,SBrkr,2640,Gd,8,Detchd,1950,864,TA,2009,265979
749,RL,10593,IR1,5,1996,Hip,PConc,1720,GasA,SBrkr,1720,Gd,7,Attchd,1996,527,TA,2010,260400
750,RL,8405,Reg,3,1945,Gable,Slab,0,Wall,FuseF,1529,TA,9,Detchd,1945,240,TA,2009,98000
751,RM,8800,Reg,7,1910,Gable,BrkTil,576,GasA,SBrkr,1140,TA,7,NA,NA,0,NA,2010,96500
752,RL,7750,Reg,5,2003,Gable,PConc,660,GasA,SBrkr,1320,Gd,6,Attchd,2003,400,TA,2007,162000
753,RL,9236,IR1,5,1997,Gable,PConc,1479,GasA,SBrkr,1494,Gd,6,Attchd,1997,576,TA,2006,217000
754,RL,10240,Reg,5,2005,Gable,PConc,1030,GasA,SBrkr,2098,Ex,8,Attchd,2005,878,TA,2006,275500
